year,title,brand,mentions
1996,aint no nigga lyrics,lexus,1
1996,aint no nigga lyrics,versace,1
1996,aint no nigga lyrics,lexus,1
1996,aint no nigga lyrics,versace,1
1996,brooklyns finest lyrics,cristal,1
1996,brooklyns finest lyrics,rolex,1
1996,brooklyns finest lyrics,cristal,1
1996,brooklyns finest lyrics,rolex,1
1996,can i live lyrics,lexus,1
1996,can i live lyrics,lexus,1
1996,coming of age lyrics,versace,1
1996,coming of age lyrics,versace,1
1996,dead presidents ii lyrics,lexus,1
1996,dead presidents ii lyrics,lexus,1
1996,feelin it lyrics,cristal,1
1996,feelin it lyrics,cristal,1
1997,always be my sunshine lyrics,versace,1
1997,always be my sunshine lyrics,versace,1
1997,friend or foe 98 lyrics,lexus,1
1997,friend or foe 98 lyrics,lexus,1
1997,imaginary player lyrics,cristal,1
1997,imaginary player lyrics,rolex,1
1997,imaginary player lyrics,versace,1
1997,imaginary player lyrics,cristal,1
1997,imaginary player lyrics,rolex,1
1997,imaginary player lyrics,versace,1
1997,where im from lyrics,glock,1
1997,where im from lyrics,glock,1
1997,who you wit ii lyrics,lexus,1
1997,who you wit ii lyrics,lexus,1
1998,can i get a lyrics,gucci,1
1998,can i get a lyrics,gucci,1
1998,hard knock life ghetto anthem lyrics,glock,1
1998,hard knock life ghetto anthem lyrics,glock,1
1998,if i should die lyrics,cristal,1
1998,if i should die lyrics,cristal,1
1998,intro hand it down lyrics,porsche,1
1998,intro hand it down lyrics,porsche,1
1998,nigga what nigga who originator 99 lyrics,glock,2
1998,nigga what nigga who originator 99 lyrics,glock,2
1998,paper chase lyrics,rolex,1
1998,paper chase lyrics,rolex,1
1998,reservoir dogs lyrics,glock,1
1998,reservoir dogs lyrics,nike,1
1998,reservoir dogs lyrics,glock,1
1998,reservoir dogs lyrics,nike,1
1998,ride or die lyrics,glock,1
1998,ride or die lyrics,glock,1
1999,big pimpin lyrics,glock,1
1999,big pimpin lyrics,glock,1
1999,come and get me lyrics,bentley,1
1999,come and get me lyrics,glock,1
1999,come and get me lyrics,bentley,1
1999,come and get me lyrics,glock,1
1999,its hot some like it hot lyrics,bentley,1
1999,its hot some like it hot lyrics,bentley,1
1999,jigga my nigga lyrics,bentley,1
1999,jigga my nigga lyrics,bentley,1
1999,pop 4 roc lyrics,bentley,1
1999,pop 4 roc lyrics,gucci,1
1999,pop 4 roc lyrics,bentley,1
1999,pop 4 roc lyrics,gucci,1
1999,snoopy track lyrics,gucci,1
1999,snoopy track lyrics,gucci,1
1999,so ghetto lyrics,bentley,1
1999,so ghetto lyrics,bentley,1
2000,get your mind right mami lyrics,gucci,1
2000,get your mind right mami lyrics,gucci,1
2000,guilty until proven innocent lyrics,glock,1
2000,guilty until proven innocent lyrics,glock,1
2000,i just wanna love u give it 2 me lyrics,gucci,1
2000,i just wanna love u give it 2 me lyrics,gucci,1
2000,streets is talking lyrics,glock,1
2000,streets is talking lyrics,glock,1
2001,all i need lyrics,nike,1
2001,all i need lyrics,nike,1
2001,girls girls girls pt2 lyrics,gucci,1
2001,girls girls girls pt2 lyrics,gucci,1
2001,jigga that nigga lyrics,gucci,1
2001,jigga that nigga lyrics,gucci,1
2001,the rulers back lyrics,bentley,1
2001,the rulers back lyrics,bentley,1
2002,2 many hoes lyrics,lexus,1
2002,2 many hoes lyrics,lexus,1
2002,excuse me miss lyrics,maybach,1
2002,excuse me miss lyrics,maybach,1
2002,get this money lyrics,bentley,1
2002,get this money lyrics,bentley,1
